depth.ft,p1,p2,p3
3530,0,0,0
3541.25,0,0,1
3544,0,1,1
3554,1,1,1
3563.25,0,0,0
3571.25,0,0,1
3573.75,0,0,0
3576.25,0,1,1
3588.25,1,1,1
3596.5,0,0,0
3601.5,0,0,1
3604.75,0,0,0
3608.25,0,1,1
3622.25,1,1,1
3631.5,0,0,1
3636,0,0,0
3640.25,0,1,1
3656.5,1,1,1
3661.5,0,0,1
3667.25,0,0,0
3672.5,0,1,1
3690.5,1,1,1
3696,0,0,0
3698.25,0,0,0
3704.5,0,1,1
3721.75,0,0,1
3724.75,1,1,1
3729,0,0,0
3736.5,0,1,1
3752,0,0,1
3758.75,1,1,1
3762.25,0,0,0
3768.75,0,1,1
3782.25,0,0,1
3792.75,1,1,1
3795.25,0,0,0
3800.75,0,1,1
3812.25,0,0,1
3822.5,0,0,0
3827,1,1,1
3833,0,1,1
3842.5,0,0,1
3853.75,0,0,0
3861,1,1,1
3865,0,1,1
3872.75,0,0,1
3884.75,0,0,0
3895,1,1,1
3897.25,0,1,1
3902.75,0,0,1
3915.75,0,0,0
3929.25,1,1,1
3933,0,0,1
3947,0,0,0
3963.25,1,1,1
3978,0,0,0
3993.5,0,1,1
3997.25,1,1,1
4009.25,0,0,0
4023.25,0,0,1
4025.75,0,1,1
4031.5,1,1,1
4040.25,0,0,0
4053.5,0,0,1
4058,0,1,1
4065.75,1,1,1
4071.25,0,0,0
4083.75,0,0,1
4090,0,1,1
4093.25,0,0,0
4099.75,1,1,1
4102.25,0,0,0
4114,0,0,1
4122.25,0,1,1
4126.5,0,0,0
4134,1,1,1
4144,0,0,1
4154.5,0,1,1
4159.5,0,0,0
4164.5,0,0,0
4168,1,1,1
4174,0,0,1
4186.5,0,1,1
4192.5,0,0,0
4195.75,0,0,0
4202.25,1,1,1
4204.25,0,0,1
4218.5,0,1,1
4225.75,0,0,0
4234.25,0,0,1
4236.5,1,1,1
4250.75,0,1,1
4258.75,0,0,0
4264.25,0,0,1
4270.5,1,1,1
4282.75,0,1,1
4289.25,0,0,0
4291.75,0,0,0
4294.5,0,0,1
4304.5,1,1,1
4314.75,0,1,1
4320.5,0,0,0
4324.5,0,0,1
4338.75,1,1,1
4347,0,1,1
4351.5,0,0,0
4354.75,0,0,1
4358,0,0,0
4372.75,1,1,1
4379.25,0,1,1
4382.5,0,0,0
4384.75,0,0,1
4391,0,0,0
4406.75,1,1,1
4411.25,0,1,1
4414.75,0,0,1
4424,0,0,0
4441,1,1,1
4443.5,0,1,1
4457.25,0,0,0
4475,1,1,1
4490.5,0,0,0
4505.25,0,0,1
4509.25,1,1,1
4523.5,0,0,0
4535.25,0,0,1
4540,0,1,1
4543.25,1,1,1
4556.5,0,0,0
4565.5,0,0,1
4569.5,0,0,0
4572,0,1,1
4577.25,1,1,1
4589.75,0,0,0
4595.5,0,0,1
4600.5,0,0,0
4604.25,0,1,1
4611.25,1,1,1
4622.75,0,0,0
4625.75,0,0,1
4631.75,0,0,0
4636.25,0,1,1
4645.25,1,1,1
4656,0,0,1
4662.75,0,0,0
4668.25,0,1,1
4679.5,1,1,1
4686.25,0,0,1
4689,0,0,0
4693.75,0,0,0
4700.5,0,1,1
4713.5,1,1,1
4716.25,0,0,1
4722,0,0,0
4725,0,0,0
4732.75,0,1,1
4747.5,1,1,1
4755.25,0,0,0
4764.75,0,1,1
4776.5,0,0,1
4781.75,1,1,1
4788.5,0,0,0
4797,0,1,1
4806.5,0,0,1
4815.75,1,1,1
4818.75,0,0,0
4821.75,0,0,0
4829.25,0,1,1
4836.5,0,0,1
4849.75,1,1,1
4854.75,0,0,0
4861.25,0,1,1
4866.5,0,0,1
4880.75,0,0,0
4884,1,1,1
4888,0,0,0
4893.25,0,1,1
4896.5,0,0,1
4911.75,0,0,0
4918.25,1,1,1
4921,0,0,0
4925.5,0,1,1
4943,0,0,0
4952.25,1,1,1
4954.25,0,0,0
4957.5,0,1,1
4974.25,0,0,0
